_id,latitude,longitude,rssi,logdate,ssid,freq,bssid,capabilities
1,29888585,-97946522,-89,21 Mar 2014 14:29:00,HP8EC58F,2457,02:23:93:92:90:8c,[IBSS]
2,29888585,-97946522,-92,21 Mar 2014 14:29:00,,2437,00:1a:70:b1:0a:28,[WPA2-PSK-CCMP][ESS]
3,29888585,-97946522,-90,21 Mar 2014 14:29:00,Amped_Pro_SR,2412,f8:7b:8c:03:23:7f,[WPA-PSK-CCMP][WPS][ESS]
4,29888585,-97946522,-80,21 Mar 2014 14:29:00,TexasStateWPA,2412,68:86:a7:28:11:a0,[WPA2-EAP-CCMP][ESS]
5,29888585,-97946522,-90,21 Mar 2014 14:29:00,SETUP,2462,66:2a:2f:53:7c:99,[IBSS]
6,29888585,-97946522,-91,21 Mar 2014 14:29:00,HP-Print-25-LaserJet 1102,2437,b8:76:3f:17:56:25,[ESS][P2P]
7,29888585,-97946522,-89,21 Mar 2014 14:29:00,HP8A2F27,2412,e6:4c:3a:62:59:d2,[IBSS]
8,29888538,-97946462,-82,21 Mar 2014 14:29:07,HP8EC58F,2457,02:23:93:92:90:8c,[IBSS]
9,29888538,-97946462,-88,21 Mar 2014 14:29:07,,2462,00:23:33:a3:7e:e0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
10,29888538,-97946462,-86,21 Mar 2014 14:29:07,HP-Print-1B-Officejet 6700,2437,d8:9d:67:04:0f:1b,[WPA2-PSK-CCMP][ESS][P2P]
11,29888538,-97946462,-90,21 Mar 2014 14:29:07,Amped_Pro_SR,2412,f8:7b:8c:03:23:7f,[WPA-PSK-CCMP][WPS][ESS]
12,29888538,-97946462,-83,21 Mar 2014 14:29:07,TexasStateWPA,2437,c0:25:5c:68:01:33,[WPA2-EAP-CCMP][ESS]
13,29888538,-97946462,-90,21 Mar 2014 14:29:07,SETUP,2462,66:2a:2f:53:7c:99,[IBSS]
14,29888538,-97946462,-80,21 Mar 2014 14:29:07,TexasStateUniversity,5660,c0:25:5c:68:01:3d,[ESS]
15,29888538,-97946462,-91,21 Mar 2014 14:29:07,HP-Print-25-LaserJet 1102,2437,b8:76:3f:17:56:25,[ESS][P2P]
16,29888538,-97946462,-90,21 Mar 2014 14:29:07,HP-Print-9D-Officejet Pro 8600,2437,a4:5d:36:3e:44:9d,[WPA2-PSK-CCMP][ESS][P2P]
17,29888538,-97946462,-78,21 Mar 2014 14:29:07,HP45D07D,2457,02:23:73:77:a7:72,[IBSS]
18,29888538,-97946462,-83,21 Mar 2014 14:29:07,HP8A2F27,2412,e6:4c:3a:62:59:d2,[IBSS]
19,29888506,-97946398,-82,21 Mar 2014 14:29:07,HP8EC58F,2457,02:23:93:92:90:8c,[IBSS]
20,29888506,-97946398,-88,21 Mar 2014 14:29:07,,2462,00:23:33:a3:7e:e0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
21,29888506,-97946398,-86,21 Mar 2014 14:29:07,HP-Print-1B-Officejet 6700,2437,d8:9d:67:04:0f:1b,[WPA2-PSK-CCMP][ESS][P2P]
22,29888506,-97946398,-90,21 Mar 2014 14:29:07,Amped_Pro_SR,2412,f8:7b:8c:03:23:7f,[WPA-PSK-CCMP][WPS][ESS]
23,29888506,-97946398,-83,21 Mar 2014 14:29:07,TexasStateWPA,2437,c0:25:5c:68:01:33,[WPA2-EAP-CCMP][ESS]
24,29888506,-97946398,-90,21 Mar 2014 14:29:07,SETUP,2462,66:2a:2f:53:7c:99,[IBSS]
25,29888506,-97946398,-80,21 Mar 2014 14:29:07,TexasStateUniversity,5660,c0:25:5c:68:01:3d,[ESS]
26,29888506,-97946398,-91,21 Mar 2014 14:29:07,HP-Print-25-LaserJet 1102,2437,b8:76:3f:17:56:25,[ESS][P2P]
27,29888506,-97946398,-90,21 Mar 2014 14:29:07,HP-Print-9D-Officejet Pro 8600,2437,a4:5d:36:3e:44:9d,[WPA2-PSK-CCMP][ESS][P2P]
28,29888506,-97946398,-78,21 Mar 2014 14:29:07,HP45D07D,2457,02:23:73:77:a7:72,[IBSS]
29,29888506,-97946398,-83,21 Mar 2014 14:29:07,HP8A2F27,2412,e6:4c:3a:62:59:d2,[IBSS]
30,29888490,-97946283,-82,21 Mar 2014 14:29:07,HP8EC58F,2457,02:23:93:92:90:8c,[IBSS]
31,29888490,-97946283,-88,21 Mar 2014 14:29:07,,2462,00:23:33:a3:7e:e0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
32,29888490,-97946283,-86,21 Mar 2014 14:29:07,HP-Print-1B-Officejet 6700,2437,d8:9d:67:04:0f:1b,[WPA2-PSK-CCMP][ESS][P2P]
33,29888490,-97946283,-90,21 Mar 2014 14:29:07,Amped_Pro_SR,2412,f8:7b:8c:03:23:7f,[WPA-PSK-CCMP][WPS][ESS]
34,29888490,-97946283,-83,21 Mar 2014 14:29:07,TexasStateWPA,2437,c0:25:5c:68:01:33,[WPA2-EAP-CCMP][ESS]
35,29888490,-97946283,-90,21 Mar 2014 14:29:07,SETUP,2462,66:2a:2f:53:7c:99,[IBSS]
36,29888490,-97946283,-80,21 Mar 2014 14:29:07,TexasStateUniversity,5660,c0:25:5c:68:01:3d,[ESS]
37,29888490,-97946283,-91,21 Mar 2014 14:29:07,HP-Print-25-LaserJet 1102,2437,b8:76:3f:17:56:25,[ESS][P2P]
38,29888490,-97946283,-90,21 Mar 2014 14:29:07,HP-Print-9D-Officejet Pro 8600,2437,a4:5d:36:3e:44:9d,[WPA2-PSK-CCMP][ESS][P2P]
39,29888490,-97946283,-78,21 Mar 2014 14:29:07,HP45D07D,2457,02:23:73:77:a7:72,[IBSS]
40,29888490,-97946283,-83,21 Mar 2014 14:29:07,HP8A2F27,2412,e6:4c:3a:62:59:d2,[IBSS]
41,29888489,-97946222,-82,21 Mar 2014 14:29:07,HP8EC58F,2457,02:23:93:92:90:8c,[IBSS]
42,29888489,-97946222,-88,21 Mar 2014 14:29:07,,2462,00:23:33:a3:7e:e0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
43,29888489,-97946222,-86,21 Mar 2014 14:29:07,HP-Print-1B-Officejet 6700,2437,d8:9d:67:04:0f:1b,[WPA2-PSK-CCMP][ESS][P2P]
44,29888489,-97946222,-90,21 Mar 2014 14:29:07,Amped_Pro_SR,2412,f8:7b:8c:03:23:7f,[WPA-PSK-CCMP][WPS][ESS]
45,29888489,-97946222,-83,21 Mar 2014 14:29:07,TexasStateWPA,2437,c0:25:5c:68:01:33,[WPA2-EAP-CCMP][ESS]
46,29888489,-97946222,-90,21 Mar 2014 14:29:07,SETUP,2462,66:2a:2f:53:7c:99,[IBSS]
47,29888489,-97946222,-80,21 Mar 2014 14:29:07,TexasStateUniversity,5660,c0:25:5c:68:01:3d,[ESS]
48,29888489,-97946222,-91,21 Mar 2014 14:29:07,HP-Print-25-LaserJet 1102,2437,b8:76:3f:17:56:25,[ESS][P2P]
49,29888489,-97946222,-90,21 Mar 2014 14:29:07,HP-Print-9D-Officejet Pro 8600,2437,a4:5d:36:3e:44:9d,[WPA2-PSK-CCMP][ESS][P2P]
50,29888489,-97946222,-78,21 Mar 2014 14:29:07,HP45D07D,2457,02:23:73:77:a7:72,[IBSS]
51,29888489,-97946222,-83,21 Mar 2014 14:29:07,HP8A2F27,2412,e6:4c:3a:62:59:d2,[IBSS]
